block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB1.png,35,0.542857143,0.505432671,0,0,1,1,1,0,0.542857143,0.085433714
1,materials/images/blueB2.png,35,0.371428571,0.490240894,0,0,0,1,1,0,0.371428571,0.082865835
1,materials/images/blueB3.png,35,0.485714286,0.507092553,0,0,0,1,1,0,0.485714286,0.085714286
1,materials/images/blueB4.png,35,0.485714286,0.507092553,0,0,0,1,1,0,0.485714286,0.085714286
1,materials/images/blueB5.png,35,0.514285714,0.507092553,0,0,1,1,1,0,0.514285714,0.085714286
1,materials/images/blueB6.png,35,0.571428571,0.502096445,0,0,1,1,1,0,0.571428571,0.084869789
1,materials/images/redA1.png,35,0.685714286,0.471008216,0,0,1,1,1,0,0.685714286,0.07961492
1,materials/images/redA2.png,35,0.657142857,0.481593992,0,0,1,1,1,0,0.657142857,0.081404242
1,materials/images/redA3.png,35,0.742857143,0.443439574,0,0.5,1,1,1,0,0.742857143,0.074954969
1,materials/images/redA4.png,35,0.771428571,0.426042961,0,1,1,1,1,0,0.771428571,0.072014404
1,materials/images/redA5.png,35,0.714285714,0.458349249,0,0,1,1,1,0,0.714285714,0.077475164
1,materials/images/redA6.png,35,0.571428571,0.502096445,0,0,1,1,1,0,0.571428571,0.084869789
2,materials/images/blueB1.png,35,0.771428571,0.426042961,0,1,1,1,1,0,0.771428571,0.072014404
2,materials/images/blueB2.png,35,0.742857143,0.443439574,0,0.5,1,1,1,0,0.742857143,0.074954969
2,materials/images/blueB3.png,35,0.885714286,0.322802851,0,1,1,1,1,0,0.885714286,0.054563641
2,materials/images/blueB4.png,35,0.571428571,0.502096445,0,0,1,1,1,0,0.571428571,0.084869789
2,materials/images/blueB5.png,35,0.628571429,0.490240894,0,0,1,1,1,0,0.628571429,0.082865835
2,materials/images/blueB6.png,35,0.657142857,0.481593992,0,0,1,1,1,0,0.657142857,0.081404242
2,materials/images/redA1.png,35,0.771428571,0.426042961,0,1,1,1,1,0,0.771428571,0.072014404
2,materials/images/redA2.png,35,0.771428571,0.426042961,0,1,1,1,1,0,0.771428571,0.072014404
2,materials/images/redA3.png,35,0.828571429,0.38238526,0,1,1,1,1,0,0.828571429,0.064634906
2,materials/images/redA4.png,35,0.828571429,0.38238526,0,1,1,1,1,0,0.828571429,0.064634906
2,materials/images/redA5.png,35,0.685714286,0.471008216,0,0,1,1,1,0,0.685714286,0.07961492
2,materials/images/redA6.png,35,0.514285714,0.507092553,0,0,1,1,1,0,0.514285714,0.085714286
3,materials/images/blueB1.png,33,0.787878788,0.41514875,0,1,1,1,1,2,0.929292929,0.070172946
3,materials/images/blueB2.png,33,0.818181818,0.391674726,0,1,1,1,1,2,0.939393939,0.066205112
3,materials/images/blueB3.png,33,0.727272727,0.452267017,0,0,1,1,1,2,0.909090909,0.076447079
3,materials/images/blueB4.png,33,0.515151515,0.507519219,0,0,1,1,1,2,0.838383838,0.085786405
3,materials/images/blueB5.png,33,0.696969697,0.466693722,0,0,1,1,1,2,0.898989899,0.078885637
3,materials/images/blueB6.png,33,0.666666667,0.478713554,0,0,1,1,1,2,0.888888889,0.080917359
3,materials/images/redA1.png,33,0.757575758,0.43519414,0,1,1,1,1,2,0.919191919,0.073561236
3,materials/images/redA2.png,33,0.939393939,0.242305842,0,1,1,1,1,2,0.97979798,0.040957163
3,materials/images/redA3.png,33,0.909090909,0.291937104,0,1,1,1,1,2,0.96969697,0.049346377
3,materials/images/redA4.png,33,0.818181818,0.391674726,0,1,1,1,1,2,0.939393939,0.066205112
3,materials/images/redA5.png,33,0.848484848,0.364109541,0,1,1,1,1,2,0.949494949,0.061545746
3,materials/images/redA6.png,33,0.575757576,0.501890366,0,0,1,1,1,2,0.858585859,0.084834956
4,materials/images/blueB1.png,29,0.862068966,0.350931203,0,1,1,1,1,6,0.980295567,0.0593182
4,materials/images/blueB2.png,29,0.862068966,0.350931203,0,1,1,1,1,6,0.980295567,0.0593182
4,materials/images/blueB3.png,29,0.931034483,0.257880715,0,1,1,1,1,6,0.990147783,0.043589797
4,materials/images/blueB4.png,29,0.620689655,0.493803974,0,0,1,1,1,6,0.945812808,0.083468106
4,materials/images/blueB5.png,29,0.862068966,0.350931203,0,1,1,1,1,6,0.980295567,0.0593182
4,materials/images/blueB6.png,29,0.75862069,0.43549417,0,1,1,1,1,6,0.965517241,0.07361195
4,materials/images/redA1.png,29,0.793103448,0.41225082,0,1,1,1,1,6,0.97044335,0.069683107
4,materials/images/redA2.png,29,0.827586207,0.384425872,0,1,1,1,1,6,0.975369458,0.064979832
4,materials/images/redA3.png,29,0.862068966,0.350931203,0,1,1,1,1,6,0.980295567,0.0593182
4,materials/images/redA4.png,29,0.827586207,0.384425872,0,1,1,1,1,6,0.975369458,0.064979832
4,materials/images/redA5.png,29,0.862068966,0.350931203,0,1,1,1,1,6,0.980295567,0.0593182
4,materials/images/redA6.png,29,0.517241379,0.508547628,0,0,1,1,1,6,0.931034483,0.085960238
5,materials/images/blueB1.png,18,0.888888889,0.323380833,0,1,1,1,1,17,0.99382716,0.054661337
5,materials/images/blueB2.png,18,1,0,1,1,1,1,1,17,1,0
5,materials/images/blueB3.png,18,0.944444444,0.23570226,0,1,1,1,1,17,0.99691358,0.039840954
5,materials/images/blueB4.png,18,0.666666667,0.48507125,0,0,1,1,1,17,0.981481481,0.081992006
5,materials/images/blueB5.png,18,0.833333333,0.383482494,0,1,1,1,1,17,0.990740741,0.064820372
5,materials/images/blueB6.png,18,0.722222222,0.460888599,0,0.25,1,1,1,17,0.984567901,0.077904392
5,materials/images/redA1.png,18,0.944444444,0.23570226,0,1,1,1,1,17,0.99691358,0.039840954
5,materials/images/redA2.png,18,0.944444444,0.23570226,0,1,1,1,1,17,0.99691358,0.039840954
