block_data,stim,count,mean,std,min,25%,50%,75%,max,num_missing,adj_mean,stnd_error
1,materials/images/blueB1.png,34,0.264705882,0.447811076,0,0,0,0.75,1,0,0.264705882,0.076798966
1,materials/images/blueB2.png,34,0.647058824,0.48507125,0,0,1,1,1,0,0.647058824,0.083189033
1,materials/images/blueB3.png,34,0.764705882,0.430561545,0,1,1,1,1,0,0.764705882,0.073840696
1,materials/images/blueB4.png,34,0.470588235,0.506640397,0,0,0,1,1,0,0.470588235,0.086888111
1,materials/images/blueB5.png,34,0.470588235,0.506640397,0,0,0,1,1,0,0.470588235,0.086888111
1,materials/images/blueB6.png,34,0.647058824,0.48507125,0,0,1,1,1,0,0.647058824,0.083189033
1,materials/images/redA1.png,34,0.823529412,0.386952995,0,1,1,1,1,0,0.823529412,0.066361891
1,materials/images/redA2.png,34,0.5,0.507519219,0,0,0.5,1,1,0,0.5,0.087038828
1,materials/images/redA3.png,34,0.705882353,0.46249729,0,0,1,1,1,0,0.705882353,0.079317631
1,materials/images/redA4.png,34,0.676470588,0.47485808,0,0,1,1,1,0,0.676470588,0.081437489
1,materials/images/redA5.png,34,0.5,0.507519219,0,0,0.5,1,1,0,0.5,0.087038828
1,materials/images/redA6.png,34,0.323529412,0.47485808,0,0,0,1,1,0,0.323529412,0.081437489
2,materials/images/blueB1.png,34,0.794117647,0.41042563,0,1,1,1,1,0,0.794117647,0.070387415
2,materials/images/blueB2.png,34,0.676470588,0.47485808,0,0,1,1,1,0,0.676470588,0.081437489
2,materials/images/blueB3.png,34,0.823529412,0.386952995,0,1,1,1,1,0,0.823529412,0.066361891
2,materials/images/blueB4.png,34,0.441176471,0.503994737,0,0,0,1,1,0,0.441176471,0.086434384
2,materials/images/blueB5.png,34,0.647058824,0.48507125,0,0,1,1,1,0,0.647058824,0.083189033
2,materials/images/blueB6.png,34,0.794117647,0.41042563,0,1,1,1,1,0,0.794117647,0.070387415
2,materials/images/redA1.png,34,0.705882353,0.46249729,0,0,1,1,1,0,0.705882353,0.079317631
2,materials/images/redA2.png,34,0.794117647,0.41042563,0,1,1,1,1,0,0.794117647,0.070387415
2,materials/images/redA3.png,34,0.852941176,0.359490628,0,1,1,1,1,0,0.852941176,0.061652134
2,materials/images/redA4.png,34,0.852941176,0.359490628,0,1,1,1,1,0,0.852941176,0.061652134
2,materials/images/redA5.png,34,0.617647059,0.493270218,0,0,1,1,1,0,0.617647059,0.084595144
2,materials/images/redA6.png,34,0.470588235,0.506640397,0,0,0,1,1,0,0.470588235,0.086888111
3,materials/images/blueB1.png,33,0.818181818,0.391674726,0,1,1,1,1,1,0.909090909,0.067171661
3,materials/images/blueB2.png,33,0.878787879,0.331433983,0,1,1,1,1,1,0.939393939,0.056840459
3,materials/images/blueB3.png,33,0.848484848,0.364109541,0,1,1,1,1,1,0.924242424,0.062444271
3,materials/images/blueB4.png,33,0.666666667,0.478713554,0,0,1,1,1,1,0.833333333,0.082098697
3,materials/images/blueB5.png,33,0.757575758,0.43519414,0,1,1,1,1,1,0.878787879,0.074635179
3,materials/images/blueB6.png,33,0.727272727,0.452267017,0,0,1,1,1,1,0.863636364,0.077563154
3,materials/images/redA1.png,33,0.878787879,0.331433983,0,1,1,1,1,1,0.939393939,0.056840459
3,materials/images/redA2.png,33,0.848484848,0.364109541,0,1,1,1,1,1,0.924242424,0.062444271
3,materials/images/redA3.png,33,0.848484848,0.364109541,0,1,1,1,1,1,0.924242424,0.062444271
3,materials/images/redA4.png,33,0.818181818,0.391674726,0,1,1,1,1,1,0.909090909,0.067171661
3,materials/images/redA5.png,33,0.606060606,0.496197663,0,0,1,1,1,1,0.803030303,0.085097197
3,materials/images/redA6.png,33,0.484848485,0.507519219,0,0,0,1,1,1,0.742424242,0.087038828
4,materials/images/blueB1.png,25,0.88,0.331662479,0,1,1,1,1,9,0.988,0.056879646
4,materials/images/blueB2.png,25,0.84,0.374165739,0,1,1,1,1,9,0.984,0.064168895
4,materials/images/blueB3.png,25,0.88,0.331662479,0,1,1,1,1,9,0.988,0.056879646
4,materials/images/blueB4.png,25,0.56,0.506622805,0,0,1,1,1,9,0.956,0.086885094
4,materials/images/blueB5.png,25,0.88,0.331662479,0,1,1,1,1,9,0.988,0.056879646
4,materials/images/blueB6.png,25,0.84,0.374165739,0,1,1,1,1,9,0.984,0.064168895
4,materials/images/redA1.png,25,0.88,0.331662479,0,1,1,1,1,9,0.988,0.056879646
