block_data,pnum,count,means,std,min,25%,50%,75%,max
1,11008,1,1,,1,1,1,1,1
1,11012,1,0,,0,0,0,0,0
1,11016,1,0,,0,0,0,0,0
1,11022,1,0,,0,0,0,0,0
1,11024,1,1,,1,1,1,1,1
1,11026,1,0,,0,0,0,0,0
1,11030,1,0,,0,0,0,0,0
1,11032,1,1,,1,1,1,1,1
1,11034,1,1,,1,1,1,1,1
1,11036,1,0,,0,0,0,0,0
1,11040,1,1,,1,1,1,1,1
1,11042,1,1,,1,1,1,1,1
1,11046,1,0,,0,0,0,0,0
1,11048,1,1,,1,1,1,1,1
1,11052,1,1,,1,1,1,1,1
1,11054,1,0,,0,0,0,0,0
1,11056,1,1,,1,1,1,1,1
1,11060,1,1,,1,1,1,1,1
1,11064,1,1,,1,1,1,1,1
1,11068,1,0,,0,0,0,0,0
1,11070,1,0,,0,0,0,0,0
1,11072,1,1,,1,1,1,1,1
1,11076,1,0,,0,0,0,0,0
1,11078,1,0,,0,0,0,0,0
1,11080,1,1,,1,1,1,1,1
1,11082,1,0,,0,0,0,0,0
1,11084,1,0,,0,0,0,0,0
1,11086,1,0,,0,0,0,0,0
1,11090,1,0,,0,0,0,0,0
1,11091,1,1,,1,1,1,1,1
1,11092,1,0,,0,0,0,0,0
1,11094,1,1,,1,1,1,1,1
1,11099,1,0,,0,0,0,0,0
1,11100,1,1,,1,1,1,1,1
1,11104,1,1,,1,1,1,1,1
2,11008,1,0,,0,0,0,0,0
2,11012,1,1,,1,1,1,1,1
2,11016,1,0,,0,0,0,0,0
2,11022,1,0,,0,0,0,0,0
2,11024,1,1,,1,1,1,1,1
2,11026,1,1,,1,1,1,1,1
2,11030,1,1,,1,1,1,1,1
2,11032,1,1,,1,1,1,1,1
2,11034,1,1,,1,1,1,1,1
2,11036,1,1,,1,1,1,1,1
2,11040,1,1,,1,1,1,1,1
2,11042,1,0,,0,0,0,0,0
2,11046,1,1,,1,1,1,1,1
2,11048,1,1,,1,1,1,1,1
2,11052,1,0,,0,0,0,0,0
2,11054,1,1,,1,1,1,1,1
2,11056,1,0,,0,0,0,0,0
2,11060,1,1,,1,1,1,1,1
2,11064,1,0,,0,0,0,0,0
2,11068,1,1,,1,1,1,1,1
2,11070,1,0,,0,0,0,0,0
