block_data,pnum,count,means,std,min,25%,50%,75%,max
1,11007,1,0,,0,0,0,0,0
1,11011,1,0,,0,0,0,0,0
1,11013,1,1,,1,1,1,1,1
1,11015,1,0,,0,0,0,0,0
1,11019,1,0,,0,0,0,0,0
1,11021,1,0,,0,0,0,0,0
1,11023,1,1,,1,1,1,1,1
1,11025,1,0,,0,0,0,0,0
1,11027,1,0,,0,0,0,0,0
1,11029,1,0,,0,0,0,0,0
1,11033,1,0,,0,0,0,0,0
1,11037,1,0,,0,0,0,0,0
1,11039,1,0,,0,0,0,0,0
1,11045,1,0,,0,0,0,0,0
1,11047,1,0,,0,0,0,0,0
1,11051,1,0,,0,0,0,0,0
1,11053,1,1,,1,1,1,1,1
1,11057,1,0,,0,0,0,0,0
1,11059,1,1,,1,1,1,1,1
1,11063,1,1,,1,1,1,1,1
1,11065,1,1,,1,1,1,1,1
1,11069,1,0,,0,0,0,0,0
1,11071,1,1,,1,1,1,1,1
1,11073,1,1,,1,1,1,1,1
1,11077,1,0,,0,0,0,0,0
1,11079,1,0,,0,0,0,0,0
1,11081,1,0,,0,0,0,0,0
1,11083,1,0,,0,0,0,0,0
1,11087,1,1,,1,1,1,1,1
1,11089,1,1,,1,1,1,1,1
1,11093,1,1,,1,1,1,1,1
1,11095,1,0,,0,0,0,0,0
1,11098,1,0,,0,0,0,0,0
1,11103,1,0,,0,0,0,0,0
2,11007,1,0,,0,0,0,0,0
2,11011,1,1,,1,1,1,1,1
2,11013,1,1,,1,1,1,1,1
2,11015,1,1,,1,1,1,1,1
2,11019,1,0,,0,0,0,0,0
2,11021,1,1,,1,1,1,1,1
2,11023,1,0,,0,0,0,0,0
2,11025,1,1,,1,1,1,1,1
2,11027,1,0,,0,0,0,0,0
2,11029,1,0,,0,0,0,0,0
2,11033,1,1,,1,1,1,1,1
2,11037,1,1,,1,1,1,1,1
2,11039,1,1,,1,1,1,1,1
2,11045,1,0,,0,0,0,0,0
2,11047,1,0,,0,0,0,0,0
2,11051,1,0,,0,0,0,0,0
2,11053,1,0,,0,0,0,0,0
2,11057,1,1,,1,1,1,1,1
2,11059,1,0,,0,0,0,0,0
2,11063,1,1,,1,1,1,1,1
2,11065,1,0,,0,0,0,0,0
2,11069,1,1,,1,1,1,1,1
2,11071,1,1,,1,1,1,1,1
2,11073,1,0,,0,0,0,0,0
2,11077,1,0,,0,0,0,0,0
2,11079,1,1,,1,1,1,1,1
2,11081,1,1,,1,1,1,1,1
2,11083,1,0,,0,0,0,0,0
2,11087,1,0,,0,0,0,0,0
2,11089,1,1,,1,1,1,1,1
