block_data,pnum,count,means,std,min,25%,50%,75%,max
1,11007,12,0.666666667,0.492365964,0,0,1,1,1
1,11011,12,0.5,0.522232968,0,0,0.5,1,1
1,11013,12,0.5,0.522232968,0,0,0.5,1,1
1,11015,12,0.666666667,0.492365964,0,0,1,1,1
1,11019,12,0.5,0.522232968,0,0,0.5,1,1
1,11021,12,0.666666667,0.492365964,0,0,1,1,1
1,11023,12,0.75,0.452267017,0,0.75,1,1,1
1,11025,12,0.5,0.522232968,0,0,0.5,1,1
1,11027,12,0.5,0.522232968,0,0,0.5,1,1
1,11029,12,0.666666667,0.492365964,0,0,1,1,1
1,11033,12,0.5,0.522232968,0,0,0.5,1,1
1,11037,12,0.666666667,0.492365964,0,0,1,1,1
1,11039,12,0.5,0.522232968,0,0,0.5,1,1
1,11045,12,0.5,0.522232968,0,0,0.5,1,1
1,11047,12,0.666666667,0.492365964,0,0,1,1,1
1,11051,12,0.583333333,0.514928651,0,0,1,1,1
1,11053,12,0.666666667,0.492365964,0,0,1,1,1
1,11057,12,0.416666667,0.514928651,0,0,0,1,1
1,11059,12,0.5,0.522232968,0,0,0.5,1,1
1,11063,12,0.75,0.452267017,0,0.75,1,1,1
1,11065,12,0.5,0.522232968,0,0,0.5,1,1
1,11069,12,0.583333333,0.514928651,0,0,1,1,1
1,11071,12,0.75,0.452267017,0,0.75,1,1,1
1,11073,12,0.583333333,0.514928651,0,0,1,1,1
1,11077,12,0.5,0.522232968,0,0,0.5,1,1
1,11079,12,0.75,0.452267017,0,0.75,1,1,1
1,11081,12,0.5,0.522232968,0,0,0.5,1,1
1,11083,12,0.166666667,0.389249472,0,0,0,0,1
1,11087,12,0.333333333,0.492365964,0,0,0,1,1
1,11089,12,0.666666667,0.492365964,0,0,1,1,1
1,11093,12,0.666666667,0.492365964,0,0,1,1,1
1,11095,12,0.583333333,0.514928651,0,0,1,1,1
1,11098,12,0.583333333,0.514928651,0,0,1,1,1
1,11103,12,0.416666667,0.514928651,0,0,0,1,1
2,11007,12,0.666666667,0.492365964,0,0,1,1,1
2,11011,12,0.833333333,0.389249472,0,1,1,1,1
2,11013,12,0.833333333,0.389249472,0,1,1,1,1
2,11015,12,0.833333333,0.389249472,0,1,1,1,1
2,11019,12,0.833333333,0.389249472,0,1,1,1,1
2,11021,12,0.75,0.452267017,0,0.75,1,1,1
2,11023,12,0.666666667,0.492365964,0,0,1,1,1
2,11025,12,0.583333333,0.514928651,0,0,1,1,1
2,11027,12,0.666666667,0.492365964,0,0,1,1,1
2,11029,12,0.583333333,0.514928651,0,0,1,1,1
2,11033,12,1,0,1,1,1,1,1
2,11037,12,0.75,0.452267017,0,0.75,1,1,1
2,11039,12,0.583333333,0.514928651,0,0,1,1,1
2,11045,12,0.666666667,0.492365964,0,0,1,1,1
2,11047,12,0.666666667,0.492365964,0,0,1,1,1
2,11051,12,0.833333333,0.389249472,0,1,1,1,1
2,11053,12,0.583333333,0.514928651,0,0,1,1,1
2,11057,12,0.75,0.452267017,0,0.75,1,1,1
2,11059,12,0.75,0.452267017,0,0.75,1,1,1
2,11063,12,0.666666667,0.492365964,0,0,1,1,1
2,11065,12,0.833333333,0.389249472,0,1,1,1,1
2,11069,12,0.75,0.452267017,0,0.75,1,1,1
2,11071,12,0.666666667,0.492365964,0,0,1,1,1
2,11073,12,0.75,0.452267017,0,0.75,1,1,1
2,11077,12,0.75,0.452267017,0,0.75,1,1,1
2,11079,12,0.833333333,0.389249472,0,1,1,1,1
2,11081,12,0.75,0.452267017,0,0.75,1,1,1
2,11083,12,0.583333333,0.514928651,0,0,1,1,1
2,11087,12,0.666666667,0.492365964,0,0,1,1,1
2,11089,12,0.75,0.452267017,0,0.75,1,1,1
2,11093,12,0.666666667,0.492365964,0,0,1,1,1
2,11095,12,0.333333333,0.492365964,0,0,0,1,1
2,11098,12,0.583333333,0.514928651,0,0,1,1,1
2,11103,12,0.583333333,0.514928651,0,0,1,1,1
3,11007,12,0.916666667,0.288675135,0,1,1,1,1
3,11011,12,0.666666667,0.492365964,0,0,1,1,1
3,11013,12,0.833333333,0.389249472,0,1,1,1,1
3,11015,12,0.916666667,0.288675135,0,1,1,1,1
3,11019,12,0.833333333,0.389249472,0,1,1,1,1
3,11021,12,0.5,0.522232968,0,0,0.5,1,1
3,11023,12,0.75,0.452267017,0,0.75,1,1,1
3,11025,12,0.75,0.452267017,0,0.75,1,1,1
3,11027,12,0.666666667,0.492365964,0,0,1,1,1
3,11029,12,0.666666667,0.492365964,0,0,1,1,1
3,11037,12,0.833333333,0.389249472,0,1,1,1,1
3,11039,12,0.583333333,0.514928651,0,0,1,1,1
3,11045,12,0.916666667,0.288675135,0,1,1,1,1
3,11047,12,0.833333333,0.389249472,0,1,1,1,1
3,11051,12,0.833333333,0.389249472,0,1,1,1,1
3,11053,12,0.916666667,0.288675135,0,1,1,1,1
3,11057,12,0.833333333,0.389249472,0,1,1,1,1
3,11059,12,0.75,0.452267017,0,0.75,1,1,1
3,11063,12,0.75,0.452267017,0,0.75,1,1,1
3,11065,12,0.833333333,0.389249472,0,1,1,1,1
3,11069,12,0.75,0.452267017,0,0.75,1,1,1
3,11071,12,0.5,0.522232968,0,0,0.5,1,1
3,11073,12,0.916666667,0.288675135,0,1,1,1,1
3,11077,12,0.583333333,0.514928651,0,0,1,1,1
3,11079,12,0.916666667,0.288675135,0,1,1,1,1
3,11081,12,0.833333333,0.389249472,0,1,1,1,1
