block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Alpha,204.0,0.5882352941176471,0.4933636669949973,0.0,0.0,1.0,1.0,1.0
1,Beta,204.0,0.5441176470588235,0.4992750467406565,0.0,0.0,1.0,1.0,1.0
2,Alpha,204.0,0.7156862745098039,0.45219663059015247,0.0,0.0,1.0,1.0,1.0
2,Beta,204.0,0.696078431372549,0.4610806686261944,0.0,0.0,1.0,1.0,1.0
3,Alpha,198.0,0.7474747474747475,0.43556216882595816,0.0,0.25,1.0,1.0,1.0
3,Beta,198.0,0.7828282828282829,0.41336563479383287,0.0,1.0,1.0,1.0,1.0
4,Alpha,150.0,0.8066666666666666,0.39623507812467246,0.0,1.0,1.0,1.0,1.0
4,Beta,150.0,0.8133333333333334,0.3909490546234406,0.0,1.0,1.0,1.0,1.0
5,Alpha,78.0,0.7948717948717948,0.40640886452950953,0.0,1.0,1.0,1.0,1.0
5,Beta,78.0,0.7948717948717948,0.40640886452950953,0.0,1.0,1.0,1.0,1.0
6,Alpha,48.0,0.8125,0.39444277960558327,0.0,1.0,1.0,1.0,1.0
6,Beta,48.0,0.7708333333333334,0.42474439539379405,0.0,1.0,1.0,1.0,1.0
7,Alpha,30.0,0.9,0.3051285766293646,0.0,1.0,1.0,1.0,1.0
7,Beta,30.0,0.9333333333333333,0.2537081317024625,0.0,1.0,1.0,1.0,1.0
8,Alpha,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0
8,Beta,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
