pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11008,training_phase_1,1,1,1,materials/images/redA2.png,Alpha,1,1,1.5336674,11,FALSE,1
11008,training_phase_1,1,1,2,materials/images/redA1.png,Alpha,1,1,1.3831178,11,FALSE,2
11008,training_phase_1,1,1,3,materials/images/redA6.png,Alpha,0,0,0.252389399,11,FALSE,2
11008,training_phase_1,1,1,4,materials/images/blueB2.png,Beta,1,0,0.3481977,11,FALSE,2
11008,training_phase_1,1,1,5,materials/images/redA3.png,Alpha,1,1,1.312043,11,FALSE,3
11008,training_phase_1,1,1,6,materials/images/blueB4.png,Beta,0,1,0.0231279,11,FALSE,4
11008,training_phase_1,1,1,7,materials/images/redA5.png,Alpha,1,1,0.540248,11,FALSE,5
11008,training_phase_1,1,1,8,materials/images/blueB1.png,Beta,0,1,0.2030122,11,FALSE,6
11008,training_phase_1,1,1,9,materials/images/blueB5.png,Beta,0,1,0.022549001,11,FALSE,7
11008,training_phase_1,1,1,10,materials/images/blueB6.png,Beta,1,0,0.017880999,11,FALSE,7
11008,training_phase_1,1,1,11,materials/images/redA4.png,Alpha,1,1,0.0686093,11,FALSE,8
11008,training_phase_1,1,1,12,materials/images/blueB3.png,Beta,1,0,0.0229391,11,FALSE,8
11008,training_phase_1,1,2,13,materials/images/redA1.png,Alpha,0,0,0.1640502,11,FALSE,0
11008,training_phase_1,1,2,14,materials/images/redA6.png,Alpha,0,0,1.3344666,11,FALSE,0
11008,training_phase_1,1,2,15,materials/images/redA2.png,Alpha,1,1,0.9163216,11,FALSE,1
11008,training_phase_1,1,2,16,materials/images/blueB3.png,Beta,0,1,0.4600182,11,FALSE,2
11008,training_phase_1,1,2,17,materials/images/redA5.png,Alpha,0,0,0.2884833,11,FALSE,2
11008,training_phase_1,1,2,18,materials/images/blueB2.png,Beta,0,1,0.3411492,11,FALSE,3
11008,training_phase_1,1,2,19,materials/images/blueB5.png,Beta,1,0,0.6592735,11,FALSE,3
11008,training_phase_1,1,2,20,materials/images/blueB4.png,Beta,1,0,0.1692547,11,FALSE,3
11008,training_phase_1,1,2,21,materials/images/blueB6.png,Beta,0,1,0.251999101,11,FALSE,4
11008,training_phase_1,1,2,22,materials/images/redA3.png,Alpha,1,1,0.0183735,11,FALSE,5
11008,training_phase_1,1,2,23,materials/images/blueB1.png,Beta,0,1,1.3654346,11,FALSE,6
11008,training_phase_1,1,2,24,materials/images/redA4.png,Alpha,1,1,0.0427611,11,FALSE,7
11008,training_phase_1,1,3,25,materials/images/blueB6.png,Beta,0,1,0.5358646,11,FALSE,1
11008,training_phase_1,1,3,26,materials/images/blueB3.png,Beta,1,0,0.365404801,11,FALSE,1
11008,training_phase_1,1,3,27,materials/images/redA4.png,Alpha,1,1,0.3125626,11,FALSE,2
11008,training_phase_1,1,3,28,materials/images/redA1.png,Alpha,1,1,0.7328641,11,FALSE,3
11008,training_phase_1,1,3,29,materials/images/blueB2.png,Beta,0,1,0.0232845,11,FALSE,4
11008,training_phase_1,1,3,30,materials/images/redA5.png,Alpha,1,1,0.018624799,11,FALSE,5
11008,training_phase_1,1,3,31,materials/images/blueB4.png,Beta,1,0,0.022921,11,FALSE,5
11008,training_phase_1,1,3,32,materials/images/blueB1.png,Beta,0,1,0.1063178,11,FALSE,6
11008,training_phase_1,1,3,33,materials/images/blueB5.png,Beta,0,1,0.149013,11,FALSE,7
11008,training_phase_1,1,3,34,materials/images/redA2.png,Alpha,1,1,0.3677564,11,FALSE,8
11008,training_phase_1,1,3,35,materials/images/redA6.png,Alpha,0,0,0.1374982,11,FALSE,8
11008,training_phase_1,1,3,36,materials/images/redA3.png,Alpha,1,1,0.0231234,11,FALSE,9
11008,training_phase_1,1,4,37,materials/images/blueB6.png,Beta,0,1,0.1551436,11,FALSE,1
11008,training_phase_1,1,4,38,materials/images/blueB3.png,Beta,0,1,0.0183286,11,FALSE,2
11008,training_phase_1,1,4,39,materials/images/blueB1.png,Beta,0,1,0.3078634,11,FALSE,3
11008,training_phase_1,1,4,40,materials/images/redA2.png,Alpha,1,1,0.0189773,11,FALSE,4
11008,training_phase_1,1,4,41,materials/images/blueB4.png,Beta,0,1,0.5415907,11,FALSE,5
11008,training_phase_1,1,4,42,materials/images/redA3.png,Alpha,1,1,0.0230969,11,FALSE,6
11008,training_phase_1,1,4,43,materials/images/redA6.png,Alpha,0,0,0.2212717,11,FALSE,6
11008,training_phase_1,1,4,44,materials/images/redA1.png,Alpha,1,1,0.144670101,11,FALSE,7
11008,training_phase_1,1,4,45,materials/images/redA4.png,Alpha,0,0,0.1957135,11,FALSE,7
11008,training_phase_1,1,4,46,materials/images/blueB5.png,Beta,0,1,0.2214265,11,FALSE,8
11008,training_phase_1,1,4,47,materials/images/redA5.png,Alpha,1,1,0.150778,11,FALSE,9
11008,training_phase_1,1,4,48,materials/images/blueB2.png,Beta,0,1,0.0678041,11,FALSE,10
11008,training_phase_1,1,5,49,materials/images/blueB1.png,Beta,0,1,0.0240141,11,FALSE,1
11008,training_phase_1,1,5,50,materials/images/redA6.png,Alpha,1,1,0.6483336,11,FALSE,2
11008,training_phase_1,1,5,51,materials/images/blueB6.png,Beta,0,1,0.2073401,11,FALSE,3
11008,training_phase_1,1,5,52,materials/images/redA2.png,Alpha,1,1,0.2404176,11,FALSE,4
11008,training_phase_1,1,5,53,materials/images/redA4.png,Alpha,0,0,1.812604,11,FALSE,4
11008,training_phase_1,1,5,54,materials/images/blueB5.png,Beta,0,1,0.4680391,11,FALSE,5
11008,training_phase_1,1,5,55,materials/images/blueB3.png,Beta,0,1,0.172502601,11,FALSE,6
11008,training_phase_1,1,5,56,materials/images/redA5.png,Alpha,0,0,0.0183615,11,FALSE,6
11008,training_phase_1,1,5,57,materials/images/blueB2.png,Beta,0,1,0.0227969,11,FALSE,7
11008,training_phase_1,1,5,58,materials/images/redA3.png,Alpha,1,1,0.8511674,11,FALSE,8
11008,training_phase_1,1,5,59,materials/images/redA1.png,Alpha,1,1,0.1673058,11,FALSE,9
11008,training_phase_1,1,5,60,materials/images/blueB4.png,Beta,0,1,0.3284008,11,FALSE,10
11008,training_phase_1,1,6,61,materials/images/redA5.png,Alpha,1,1,0.6576547,11,FALSE,1
11008,training_phase_1,1,6,62,materials/images/blueB6.png,Beta,0,1,0.018552399,11,FALSE,2
11008,training_phase_1,1,6,63,materials/images/blueB4.png,Beta,0,1,0.0186681,11,FALSE,3
11008,training_phase_1,1,6,64,materials/images/blueB1.png,Beta,0,1,0.0238905,11,FALSE,4
11008,training_phase_1,1,6,65,materials/images/blueB3.png,Beta,0,1,0.043080499,11,FALSE,5
11008,training_phase_1,1,6,66,materials/images/redA4.png,Alpha,1,1,0.0537521,11,FALSE,6
11008,training_phase_1,1,6,67,materials/images/blueB5.png,Beta,0,1,0.3964708,11,FALSE,7
11008,training_phase_1,1,6,68,materials/images/redA3.png,Alpha,0,0,0.0181732,11,FALSE,7
11008,training_phase_1,1,6,69,materials/images/redA2.png,Alpha,0,0,0.1245848,11,FALSE,7
11008,training_phase_1,1,6,70,materials/images/blueB2.png,Beta,0,1,0.176604,11,FALSE,8
11008,training_phase_1,1,6,71,materials/images/redA6.png,Alpha,1,1,0.1881106,11,FALSE,9
11008,training_phase_1,1,6,72,materials/images/redA1.png,Alpha,1,1,0.0259253,11,FALSE,10
11008,training_phase_1,1,7,73,materials/images/blueB6.png,Beta,0,1,0.568415601,11,FALSE,1
