pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
11007,training_phase_1,2,1,1,materials/images/redA3.png,Alpha,1,1,1.6903755,11,FALSE,1
11007,training_phase_1,2,1,2,materials/images/blueB2.png,Beta,0,1,0.6078851,11,FALSE,2
11007,training_phase_1,2,1,3,materials/images/blueB4.png,Beta,1,0,1.7981769,11,FALSE,2
11007,training_phase_1,2,1,4,materials/images/blueB1.png,Beta,1,0,0.2648727,11,FALSE,2
11007,training_phase_1,2,1,5,materials/images/blueB6.png,Beta,0,1,0.305936701,11,FALSE,3
11007,training_phase_1,2,1,6,materials/images/redA5.png,Alpha,1,1,0.3449561,11,FALSE,4
11007,training_phase_1,2,1,7,materials/images/redA1.png,Alpha,1,1,0.9305615,11,FALSE,5
11007,training_phase_1,2,1,8,materials/images/redA6.png,Alpha,0,0,0.1221,11,FALSE,5
11007,training_phase_1,2,1,9,materials/images/blueB3.png,Beta,1,0,0.5593301,11,FALSE,5
11007,training_phase_1,2,1,10,materials/images/redA2.png,Alpha,1,1,0.019197,11,FALSE,6
11007,training_phase_1,2,1,11,materials/images/redA4.png,Alpha,1,1,1.341006,11,FALSE,7
11007,training_phase_1,2,1,12,materials/images/blueB5.png,Beta,0,1,0.206974399,11,FALSE,8
11007,training_phase_1,2,2,13,materials/images/redA2.png,Alpha,1,1,0.3731839,11,FALSE,1
11007,training_phase_1,2,2,14,materials/images/redA5.png,Alpha,0,0,0.6750901,11,FALSE,1
11007,training_phase_1,2,2,15,materials/images/blueB1.png,Beta,1,0,0.8170397,11,FALSE,1
11007,training_phase_1,2,2,16,materials/images/blueB4.png,Beta,1,0,0.2555295,11,FALSE,1
11007,training_phase_1,2,2,17,materials/images/redA4.png,Alpha,1,1,0.2293707,11,FALSE,2
11007,training_phase_1,2,2,18,materials/images/blueB5.png,Beta,0,1,0.0873804,11,FALSE,3
11007,training_phase_1,2,2,19,materials/images/redA3.png,Alpha,1,1,0.1605196,11,FALSE,4
11007,training_phase_1,2,2,20,materials/images/blueB2.png,Beta,0,1,2.547796,11,FALSE,5
11007,training_phase_1,2,2,21,materials/images/redA1.png,Alpha,1,1,0.4540049,11,FALSE,6
11007,training_phase_1,2,2,22,materials/images/redA6.png,Alpha,0,0,0.2330012,11,FALSE,6
11007,training_phase_1,2,2,23,materials/images/blueB3.png,Beta,0,1,0.1647313,11,FALSE,7
11007,training_phase_1,2,2,24,materials/images/blueB6.png,Beta,0,1,0.091341499,11,FALSE,8
11007,training_phase_1,2,3,25,materials/images/redA2.png,Alpha,1,1,0.1758649,11,FALSE,1
11007,training_phase_1,2,3,26,materials/images/blueB5.png,Beta,1,0,0.0236855,11,FALSE,1
11007,training_phase_1,2,3,27,materials/images/redA6.png,Alpha,1,1,0.5580215,11,FALSE,2
11007,training_phase_1,2,3,28,materials/images/redA4.png,Alpha,1,1,0.556525299,11,FALSE,3
11007,training_phase_1,2,3,29,materials/images/blueB4.png,Beta,0,1,0.019083399,11,FALSE,4
11007,training_phase_1,2,3,30,materials/images/redA3.png,Alpha,1,1,0.3594927,11,FALSE,5
11007,training_phase_1,2,3,31,materials/images/redA5.png,Alpha,1,1,0.6582367,11,FALSE,6
11007,training_phase_1,2,3,32,materials/images/redA1.png,Alpha,1,1,0.0190306,11,FALSE,7
11007,training_phase_1,2,3,33,materials/images/blueB6.png,Beta,0,1,0.0195616,11,FALSE,8
11007,training_phase_1,2,3,34,materials/images/blueB1.png,Beta,0,1,0.0612195,11,FALSE,9
11007,training_phase_1,2,3,35,materials/images/blueB3.png,Beta,0,1,0.0188437,11,FALSE,10
11007,training_phase_1,2,3,36,materials/images/blueB2.png,Beta,0,1,0.901126401,11,TRUE,11
11007,test_phase,2,1,1,materials/images/yGen2.png,test,0,2,0.7376506,1,TRUE,1
11007,test_phase,2,1,2,materials/images/redA6.png,Alpha,0,2,0.786243999,1,TRUE,2
11007,test_phase,2,1,3,materials/images/redA4.png,Alpha,1,2,0.0240893,1,TRUE,3
