pnum,num2crit,condition,test_1,test_2,test_3,test_4,test_5,alpha_p2b1,beta_p2b1,gamma_p2b1,delta_p2b1,alpha_p2b2,beta_p2b2,gamma_p2b2,delta_p2b2,total_novel_cat
11007,3,2,0,1,1,1,1,3,5,4,3,5,3,4,5,16
11008,8,1,1,0,1,1,1,2,3,2,3,5,4,3,5,13
11011,5,2,0,0,1,1,1,6,4,1,3,3,3,0,1,5
11012,4,1,0,1,1,1,1,4,1,2,1,4,1,3,4,10
11013,4,2,0,0,1,1,1,4,1,3,4,4,4,2,1,10
11015,3,2,0,0,1,1,1,2,2,3,3,3,3,3,4,13
11016,4,1,0,0,0,1,1,4,3,2,2,4,0,4,4,12
11019,4,2,0,0,1,1,1,4,2,2,2,3,2,2,3,9
11021,8,2,0,1,1,1,1,1,0,1,5,2,0,2,6,14
11022,4,1,0,0,0,0,0,3,3,3,4,4,2,2,5,14
11023,5,2,0,1,0,1,1,2,4,1,2,2,4,3,0,6
11024,7,1,0,0,0,0,1,3,5,1,2,5,4,1,2,6
11025,6,2,0,0,1,1,1,4,2,0,4,4,3,1,4,9
11026,3,1,0,1,1,1,0,6,1,0,2,4,4,6,6,14
11027,4,2,0,0,1,1,1,5,3,3,1,5,3,1,2,7
11029,7,2,0,1,1,1,1,4,2,2,3,4,2,4,4,13
11030,2,1,0,0,0,1,1,6,5,2,1,6,3,2,4,9
11032,5,1,0,0,1,1,1,5,3,2,5,5,1,2,1,10
11033,2,2,0,0,1,1,1,0,1,1,3,1,1,4,6,14
11034,5,1,1,1,0,1,1,5,1,3,4,4,3,3,6,16
11036,4,1,0,1,1,1,1,3,3,0,2,4,2,1,1,4
11037,4,2,1,0,1,1,1,2,2,2,3,4,3,2,4,11
11039,6,2,0,1,0,1,1,3,3,2,0,3,1,3,3,8
11040,5,1,0,0,1,1,1,4,3,1,4,5,4,3,1,9
11042,5,1,1,1,1,1,1,3,3,2,4,4,1,4,3,13
11045,3,2,0,0,1,1,1,4,3,2,5,4,1,6,6,19
11046,2,1,0,0,1,1,0,5,3,1,2,5,3,2,3,8
11047,4,2,0,0,1,1,1,4,2,2,4,5,3,3,4,13
11048,4,1,0,0,1,1,1,3,3,3,2,4,1,3,2,10
11051,4,2,0,0,1,1,1,5,3,3,4,5,2,2,4,13
11052,3,1,0,0,1,0,1,5,3,0,2,5,0,2,2,6
11053,3,2,0,0,1,1,1,1,1,1,2,4,1,3,5,11
11054,4,1,0,0,1,1,1,3,2,2,2,3,4,4,4,12
11056,8,1,1,0,1,1,1,4,2,3,4,3,2,2,4,13
11057,5,2,0,0,1,1,1,5,5,3,3,3,4,6,6,18
11059,4,2,0,1,1,1,1,3,4,2,1,4,3,4,1,8
11060,5,1,0,0,1,1,1,2,2,2,3,3,3,2,5,12
11063,5,2,0,0,1,1,1,4,1,1,2,4,1,2,3,8
11064,6,1,0,0,1,1,1,5,0,2,4,3,5,4,5,15
11065,4,2,0,0,1,1,1,4,1,3,4,4,0,3,0,10
11068,5,1,0,0,1,1,1,5,2,1,4,5,1,3,6,14
11069,4,2,0,1,1,1,1,4,2,2,1,3,3,1,3,7
11070,4,1,0,0,1,1,1,6,3,0,0,4,3,3,6,9
11071,7,2,1,0,0,1,0,1,0,0,0,1,1,1,0,1
11072,4,1,0,0,1,1,1,2,1,4,4,4,2,3,3,14
11073,3,2,0,1,1,1,1,3,2,1,3,2,1,3,4,11
11076,4,1,0,0,1,1,1,4,1,2,4,5,2,3,6,15
11077,4,2,0,1,1,1,1,5,1,1,2,5,2,0,1,4
11078,5,1,0,0,1,1,1,5,4,1,3,3,2,1,2,7
11079,3,2,0,0,1,1,1,2,3,2,3,1,2,1,5,11
11080,6,1,1,1,1,0,0,1,2,2,3,5,2,3,5,13
11081,6,2,0,0,1,1,1,6,2,4,1,4,1,4,1,10
11082,7,1,0,0,1,1,1,1,1,2,5,1,1,2,3,12
11083,5,2,0,1,0,1,0,4,3,3,3,4,4,2,2,10
11084,4,1,0,0,1,1,1,5,3,1,3,4,0,4,6,14
11086,3,1,0,0,1,1,1,4,3,3,2,4,1,1,4,10
11087,7,2,0,0,1,1,1,4,3,3,2,3,1,4,4,13
11089,3,2,0,0,1,1,1,5,3,3,4,2,1,2,6,15
11090,7,1,1,1,1,1,1,4,4,2,1,0,1,3,1,7
11091,6,1,1,0,1,1,1,2,1,1,2,3,3,2,4,9
11092,5,1,0,0,0,1,1,6,2,1,2,6,2,2,3,8
11093,3,2,0,0,1,1,1,4,3,1,3,2,1,3,5,12
11094,6,1,1,0,0,1,1,4,3,1,3,3,2,2,4,10
11095,4,2,0,0,1,1,0,4,3,4,3,4,3,4,5,16
11098,7,2,1,1,1,0,0,6,3,2,4,4,2,1,3,10
11099,6,1,1,0,1,1,1,2,3,4,3,2,2,3,5,15
11100,4,1,0,0,1,1,1,4,3,1,0,5,2,2,2,5
11103,4,2,0,0,0,1,0,1,4,2,1,3,2,0,3,6
11104,3,1,0,0,1,1,1,6,2,2,2,5,2,3,4,11
